day_of_year,hour,temp_mean,temp_min,temp_max,precip_mean,wind_mean
1,0,-3.62,-13.8,2.0,0.18,14.42
1,1,-4.0,-15.0,1.2,0.23,14.49
1,2,-4.46,-16.0,0.7,0.19,14.34
1,3,-5.09,-18.5,0.9,0.04,14.02
1,4,-5.13,-18.7,1.5,0.08,14.47
1,5,-5.1,-19.0,1.9,0.09,14.11
1,6,-5.29,-19.2,1.7,0.01,14.46
1,7,-5.58,-19.6,1.3,0.01,14.59
1,8,-5.62,-20.0,0.8,0.02,13.63
1,9,-6.07,-20.5,0.7,0.03,13.49
1,10,-6.29,-20.9,0.5,0.04,12.64
1,11,-6.48,-21.3,0.3,0.03,12.43
1,12,-6.27,-21.4,0.2,0.05,11.99
1,13,-6.21,-21.4,0.4,0.08,11.7
1,14,-6.17,-21.9,0.2,0.08,10.95
1,15,-6.46,-22.8,0.2,0.11,11.32
1,16,-6.63,-23.3,0.2,0.3,12.95
1,17,-6.68,-23.8,1.2,0.25,13.27
1,18,-6.6,-24.3,2.5,0.23,14.08
1,19,-6.61,-25.0,3.2,0.06,15.05
1,20,-6.6,-25.4,3.4,0.05,14.96
1,21,-6.58,-25.8,3.7,0.03,14.58
1,22,-6.79,-26.3,4.0,0.02,15.69
1,23,-7.06,-27.0,4.6,0.04,15.26
2,0,-7.39,-27.3,4.3,0.01,14.16
2,1,-7.8,-27.7,4.0,0.0,13.89
2,2,-8.06,-28.0,4.2,0.0,13.77
2,3,-8.33,-28.6,3.6,0.0,13.42
2,4,-8.14,-28.0,3.5,0.0,12.34
2,5,-8.33,-27.5,3.9,0.0,11.72
2,6,-8.42,-27.2,4.0,0.03,11.52
2,7,-8.44,-26.5,3.7,0.02,11.49
2,8,-8.53,-26.0,3.5,0.03,11.63
2,9,-8.73,-25.9,3.5,0.02,11.54
2,10,-8.86,-25.8,3.6,0.01,11.2
2,11,-8.94,-25.9,3.6,0.01,10.68
2,12,-8.95,-25.7,3.2,0.03,10.06
2,13,-8.92,-25.7,3.1,0.05,9.98
2,14,-9.09,-26.0,3.0,0.06,10.35
2,15,-9.32,-26.8,2.8,0.02,9.98
2,16,-9.41,-26.8,3.0,0.02,10.3
2,17,-9.37,-26.6,3.6,0.0,10.8
2,18,-9.32,-26.7,5.4,0.0,10.61
2,19,-9.59,-27.2,4.1,0.0,10.04
2,20,-9.68,-27.0,3.8,0.0,9.92
2,21,-9.69,-25.9,4.0,0.0,9.83
2,22,-9.75,-24.8,3.8,0.0,9.49
2,23,-9.67,-23.5,3.7,0.0,10.17
3,0,-9.58,-22.9,3.4,0.0,9.8
3,1,-9.53,-22.5,3.2,0.0,9.75
3,2,-9.29,-21.7,3.8,0.0,10.5
3,3,-9.41,-20.4,3.6,0.01,10.82
3,4,-9.34,-20.0,3.9,0.04,11.07
3,5,-9.31,-19.6,4.1,0.03,11.28
3,6,-9.37,-19.4,4.2,0.03,11.8
3,7,-9.52,-20.1,3.9,0.02,11.88
3,8,-9.47,-19.5,3.5,0.02,11.31
3,9,-9.64,-21.3,3.3,0.06,11.49
3,10,-9.62,-20.3,3.1,0.04,11.7
3,11,-9.67,-19.9,3.0,0.0,12.26
3,12,-9.53,-19.6,3.4,0.02,12.51
3,13,-9.44,-19.2,3.3,0.02,12.38
3,14,-9.04,-19.6,4.2,0.03,12.2
3,15,-9.37,-19.9,3.7,0.07,12.46
3,16,-9.18,-20.0,3.3,0.06,12.59
3,17,-9.14,-20.9,2.8,0.06,13.21
3,18,-9.28,-22.4,2.0,0.05,13.95
3,19,-9.67,-24.3,1.3,0.09,14.39
3,20,-10.11,-25.7,0.4,0.1,14.63
3,21,-10.36,-26.7,-0.1,0.1,14.01
3,22,-10.51,-27.3,-0.4,0.11,13.48
3,23,-10.78,-27.7,-0.8,0.05,13.06
4,0,-11.02,-28.1,-1.1,0.02,12.59
4,1,-11.37,-28.5,-1.3,0.02,12.48
4,2,-11.43,-28.9,-1.6,0.03,12.33
4,3,-12.3,-29.7,-2.3,0.02,12.1
4,4,-12.39,-29.8,-2.2,0.02,12.06
4,5,-12.45,-29.9,-1.7,0.02,11.68
4,6,-12.46,-30.0,-1.9,0.01,11.0
4,7,-12.48,-30.3,-2.1,0.03,10.14
4,8,-12.37,-30.4,-2.1,0.04,10.51
4,9,-12.38,-30.5,-2.4,0.07,10.52
4,10,-12.29,-30.5,-2.6,0.07,9.98
4,11,-12.17,-30.4,-2.4,0.03,9.29
4,12,-12.0,-30.2,-2.8,0.01,9.63
4,13,-11.92,-30.1,-3.3,0.02,10.14
4,14,-11.89,-30.0,-3.0,0.02,10.76
4,15,-12.54,-29.7,-4.7,0.0,10.98
4,16,-12.86,-29.4,-5.5,0.01,11.54
4,17,-12.95,-29.2,-4.6,0.01,11.5
4,18,-13.03,-28.8,-3.1,0.01,11.6
4,19,-13.13,-28.4,-3.3,0.03,11.39
4,20,-13.11,-28.1,-3.5,0.04,11.74
4,21,-13.14,-27.7,-3.6,0.05,12.34
4,22,-13.03,-27.5,-2.5,0.05,12.55
4,23,-13.06,-27.5,-2.4,0.03,12.81
5,0,-13.26,-27.7,-3.4,0.02,12.25
5,1,-13.58,-28.2,-4.1,0.01,11.65
5,2,-13.5,-28.8,-2.6,0.02,11.29
5,3,-14.01,-29.3,-2.9,0.01,11.35
5,4,-14.18,-29.3,-3.0,0.01,10.9
5,5,-14.15,-28.9,-2.8,0.03,10.47
5,6,-14.31,-28.5,-2.9,0.05,10.98
5,7,-13.93,-28.2,-2.8,0.03,10.08
5,8,-13.87,-27.8,-2.5,0.02,10.21
5,9,-13.78,-27.4,-2.2,0.01,10.2
5,10,-13.72,-27.2,-2.0,0.02,9.82
5,11,-13.98,-27.2,-1.8,0.03,9.44
5,12,-13.53,-26.9,-1.5,0.05,9.28
5,13,-13.26,-26.7,-1.3,0.06,9.47
5,14,-13.52,-26.9,-1.2,0.07,9.23
5,15,-13.35,-26.8,-1.0,0.05,9.66
5,16,-13.29,-26.6,-0.7,0.04,10.09
5,17,-13.27,-26.5,-0.6,0.06,10.16
5,18,-13.07,-26.5,-0.5,0.04,9.97
5,19,-12.89,-26.5,-0.2,0.05,9.44
5,20,-12.76,-26.6,0.3,0.03,9.87
5,21,-12.65,-26.7,0.6,0.02,10.09
5,22,-12.67,-26.8,0.7,0.02,10.39
5,23,-12.63,-27.3,0.5,0.03,10.63
6,0,-12.68,-27.6,0.2,0.04,10.09
6,1,-12.61,-27.9,-0.2,0.06,10.28
6,2,-12.3,-28.2,0.1,0.04,9.78
6,3,-12.43,-28.5,0.0,0.02,10.35
6,4,-12.42,-28.6,-0.3,0.05,10.06
6,5,-12.4,-28.8,0.3,0.07,9.27
6,6,-12.36,-28.9,0.7,0.02,9.7
6,7,-12.39,-28.8,0.1,0.01,10.25
6,8,-12.22,-28.7,0.5,0.04,10.07
6,9,-12.2,-28.8,0.5,0.04,10.27
6,10,-12.24,-28.7,0.5,0.03,10.16
6,11,-12.24,-28.9,0.4,0.03,9.89
6,12,-12.16,-28.9,0.5,0.05,9.88
6,13,-12.15,-28.9,0.7,0.05,9.34
6,14,-12.5,-29.1,0.4,0.06,9.07
6,15,-12.71,-28.8,-0.3,0.03,8.54
6,16,-12.6,-28.4,-0.5,0.05,8.97
6,17,-12.37,-28.0,-0.3,0.06,9.43
6,18,-12.27,-26.6,-0.2,0.05,10.79
6,19,-12.24,-26.4,-0.7,0.05,10.99
6,20,-12.07,-26.3,-0.9,0.05,11.36
6,21,-11.76,-26.5,-0.7,0.04,11.38
6,22,-11.18,-26.4,0.1,0.07,11.8
6,23,-10.68,-26.4,0.6,0.13,11.85
7,0,-10.3,-26.4,0.9,0.07,12.09
7,1,-10.16,-26.5,1.1,0.02,11.87
7,2,-10.38,-26.5,1.3,0.0,12.06
7,3,-10.31,-26.4,0.8,0.01,12.7
7,4,-10.34,-26.8,0.6,0.03,13.17
7,5,-10.27,-26.5,0.8,0.06,13.44
7,6,-9.94,-26.2,1.0,0.12,13.67
7,7,-9.59,-26.1,1.0,0.09,14.02
7,8,-9.28,-25.8,1.0,0.06,14.12
7,9,-9.14,-26.0,1.0,0.02,14.34
7,10,-9.13,-26.7,1.3,0.0,14.13
7,11,-9.03,-26.6,1.8,0.01,13.84
7,12,-8.85,-26.5,2.6,0.01,13.51
7,13,-8.79,-26.3,2.8,0.0,13.01
7,14,-8.6,-26.3,3.2,0.0,13.51
7,15,-8.56,-26.1,2.9,0.0,14.1
7,16,-8.47,-26.0,2.7,0.0,14.15
7,17,-8.47,-26.0,2.2,0.0,14.2
7,18,-8.83,-26.0,1.9,0.0,14.04
7,19,-8.88,-25.8,1.5,0.0,13.69
7,20,-8.95,-25.6,1.3,0.04,13.68
7,21,-9.05,-24.9,1.0,0.02,13.42
7,22,-9.14,-25.0,1.1,0.03,13.46
7,23,-9.23,-25.0,1.1,0.04,13.0
8,0,-9.27,-24.8,1.3,0.03,13.61
8,1,-8.96,-24.6,1.4,0.04,14.13
8,2,-8.66,-24.2,2.3,0.02,14.37
8,3,-8.71,-23.6,2.6,0.03,13.82
8,4,-8.74,-22.9,2.9,0.06,13.41
8,5,-8.72,-22.2,3.3,0.04,13.07
8,6,-8.8,-21.7,3.2,0.11,13.99
8,7,-8.66,-21.7,3.0,0.06,13.98
8,8,-8.61,-21.7,3.3,0.05,13.93
8,9,-8.45,-21.7,3.4,0.04,13.85
8,10,-8.25,-21.6,3.1,0.09,13.94
8,11,-8.1,-21.4,2.6,0.12,14.15
8,12,-7.81,-21.1,3.0,0.06,14.41
8,13,-7.82,-20.8,3.4,0.05,14.03
8,14,-7.36,-19.2,4.2,0.07,14.04
8,15,-7.25,-20.0,3.7,0.12,14.49
8,16,-7.07,-19.6,3.4,0.07,14.87
8,17,-7.09,-19.2,3.2,0.08,14.81
8,18,-6.96,-18.4,3.0,0.02,14.53
8,19,-6.78,-17.5,3.0,0.03,15.04
8,20,-6.62,-16.4,2.8,0.04,14.9
8,21,-6.57,-15.7,2.0,0.05,14.55
8,22,-6.47,-15.1,3.2,0.07,15.0
8,23,-6.37,-14.9,3.7,0.06,14.8
9,0,-6.44,-14.7,3.2,0.08,14.75
9,1,-6.55,-14.9,2.5,0.1,14.1
9,2,-6.7,-15.6,1.5,0.12,14.32
9,3,-6.96,-16.7,1.3,0.04,13.89
9,4,-6.97,-17.6,1.3,0.04,13.87
9,5,-7.12,-18.1,2.3,0.05,14.12
9,6,-7.36,-18.2,2.6,0.05,14.05
9,7,-7.37,-17.8,2.9,0.04,14.46
9,8,-7.63,-17.6,3.3,0.06,13.97
9,9,-7.51,-16.6,3.3,0.06,13.71
9,10,-7.58,-16.5,3.4,0.07,13.39
9,11,-7.63,-16.6,3.3,0.08,12.43
9,12,-7.4,-16.7,3.6,0.03,13.47
9,13,-7.51,-16.5,3.6,0.01,13.71
9,14,-7.38,-16.3,2.9,0.0,14.49
9,15,-7.79,-16.6,1.7,0.03,13.49
9,16,-8.06,-16.7,1.5,0.02,12.62
9,17,-8.33,-16.6,1.4,0.03,11.87
9,18,-8.52,-16.9,1.2,0.03,11.11
9,19,-8.56,-17.3,1.1,0.02,10.96
9,20,-8.7,-18.3,1.1,0.02,10.99
9,21,-8.69,-19.3,0.9,0.01,10.39
9,22,-8.86,-19.9,0.8,0.01,10.7
9,23,-8.96,-20.2,0.7,0.01,10.55
10,0,-8.64,-19.6,0.7,0.01,9.85
10,1,-8.38,-18.6,0.5,0.0,9.84
10,2,-8.38,-18.3,0.4,0.01,10.25
10,3,-8.28,-16.3,0.1,0.03,10.01
10,4,-7.99,-17.0,-0.2,0.03,10.45
10,5,-7.93,-17.6,-0.6,0.02,10.25
10,6,-7.96,-17.9,-0.1,0.05,9.91
10,7,-8.02,-18.0,0.2,0.09,10.28
10,8,-8.07,-17.8,0.1,0.06,9.84
10,9,-8.0,-17.5,0.2,0.02,10.36
10,10,-7.8,-17.2,0.5,0.01,11.03
10,11,-7.58,-17.0,0.8,0.01,11.44
10,12,-7.33,-16.6,1.5,0.02,12.17
10,13,-7.08,-16.5,2.3,0.01,13.0
10,14,-6.73,-14.5,2.4,0.0,13.38
10,15,-7.09,-18.3,2.1,0.09,13.9
10,16,-6.97,-18.5,2.1,0.04,14.58
10,17,-6.87,-18.8,1.9,0.04,14.63
10,18,-6.67,-18.9,1.8,0.04,14.84
10,19,-6.45,-18.8,1.7,0.05,14.82
10,20,-6.43,-18.8,1.5,0.12,14.95
10,21,-6.34,-18.6,1.2,0.08,14.99
10,22,-6.15,-18.3,1.2,0.03,14.45
10,23,-6.13,-18.2,1.1,0.04,14.18
11,0,-6.32,-18.2,1.5,0.03,14.77
11,1,-6.44,-18.1,2.0,0.02,15.15
11,2,-6.6,-18.0,2.4,0.06,14.31
11,3,-7.31,-21.8,2.3,0.04,14.81
11,4,-7.41,-21.2,2.1,0.01,15.12
11,5,-7.53,-20.5,1.5,0.01,15.48
11,6,-7.56,-20.0,1.5,0.02,15.93
11,7,-7.71,-19.6,1.4,0.0,16.58
11,8,-7.99,-19.0,1.0,0.01,16.19
11,9,-8.04,-18.5,0.9,0.02,16.11
11,10,-8.07,-18.1,0.8,0.02,15.94
11,11,-7.8,-17.5,1.0,0.03,15.64
11,12,-7.48,-16.8,1.4,0.01,15.49
11,13,-7.14,-16.0,1.8,0.02,15.17
11,14,-6.64,-15.7,1.2,0.04,15.07
11,15,-6.81,-18.6,1.1,0.05,15.08
11,16,-6.45,-18.3,1.2,0.08,16.26
11,17,-6.31,-17.9,1.6,0.03,16.69
11,18,-6.25,-17.2,1.4,0.06,16.44
11,19,-6.26,-16.6,1.3,0.11,16.62
11,20,-6.17,-16.5,1.4,0.15,16.41
11,21,-6.21,-17.0,1.4,0.15,16.27
11,22,-6.12,-18.1,1.8,0.14,17.71
11,23,-6.13,-18.6,2.1,0.13,17.74
12,0,-6.17,-19.4,2.4,0.08,17.67
12,1,-6.16,-19.3,2.6,0.12,17.47
12,2,-5.96,-19.6,3.8,0.07,17.74
12,3,-6.56,-24.4,3.6,0.03,18.81
12,4,-6.59,-24.1,3.5,0.02,19.64
12,5,-6.55,-23.6,3.2,0.02,20.34
12,6,-6.57,-22.8,3.0,0.01,20.05
12,7,-6.43,-21.1,2.8,0.01,20.08
12,8,-6.24,-18.4,2.8,0.0,19.64
12,9,-6.29,-15.2,2.8,0.01,18.73
12,10,-6.25,-15.7,2.7,0.02,18.66
12,11,-6.02,-16.2,2.6,0.01,18.85
12,12,-5.86,-16.4,2.5,0.0,19.05
12,13,-5.83,-16.7,2.3,0.0,19.35
12,14,-5.92,-17.2,2.5,0.07,19.86
12,15,-6.28,-17.5,2.2,0.03,19.78
12,16,-6.45,-17.8,2.1,0.03,19.36
12,17,-6.35,-18.0,2.1,0.05,19.54
12,18,-6.28,-17.8,2.1,0.08,19.8
12,19,-6.3,-17.5,1.9,0.11,19.78
12,20,-6.35,-17.2,2.0,0.0,19.86
12,21,-6.43,-17.3,2.0,0.0,19.19
12,22,-6.5,-17.6,2.3,0.0,18.56
12,23,-6.59,-17.9,2.4,0.0,17.61
13,0,-6.69,-17.9,2.2,0.0,16.34
13,1,-6.73,-17.8,2.1,0.0,15.77
13,2,-6.35,-17.7,2.8,0.0,16.06
13,3,-6.36,-18.3,2.4,0.01,16.26
13,4,-6.34,-18.5,2.4,0.04,15.82
13,5,-6.26,-18.7,2.5,0.0,16.4
13,6,-6.2,-19.1,2.5,0.01,17.02
13,7,-6.29,-19.3,2.2,0.02,16.85
13,8,-6.5,-19.5,1.9,0.04,16.97
13,9,-6.52,-19.8,1.8,0.06,15.89
13,10,-6.5,-20.1,1.6,0.05,15.39
13,11,-6.61,-20.1,1.5,0.04,15.39
13,12,-6.3,-19.9,1.3,0.04,15.4
13,13,-6.15,-19.8,1.2,0.06,15.75
13,14,-5.86,-19.1,1.4,0.08,15.18
13,15,-6.0,-19.9,0.8,0.07,15.06
13,16,-6.12,-20.3,0.3,0.1,15.38
13,17,-6.19,-20.7,0.2,0.17,15.82
13,18,-6.16,-21.0,0.3,0.1,15.66
13,19,-6.17,-21.3,0.5,0.09,15.02
13,20,-6.19,-21.6,0.6,0.02,14.94
13,21,-6.18,-21.9,1.1,0.01,15.7
13,22,-6.16,-22.2,1.9,0.02,16.56
13,23,-6.17,-22.5,2.6,0.03,17.1
14,0,-6.21,-23.0,3.2,0.05,16.55
14,1,-6.31,-23.4,3.4,0.06,16.23
14,2,-6.32,-23.6,3.4,0.08,17.01
14,3,-6.51,-24.7,3.1,0.12,16.58
14,4,-6.5,-25.2,3.2,0.14,16.28
14,5,-6.49,-25.7,3.1,0.06,16.08
14,6,-6.46,-26.2,2.9,0.06,15.44
14,7,-6.25,-26.4,2.7,0.1,15.88
14,8,-6.09,-26.7,2.7,0.1,15.45
14,9,-6.06,-26.9,2.7,0.07,14.99
14,10,-6.13,-26.9,2.7,0.04,15.16
14,11,-6.07,-26.7,2.6,0.03,14.79
14,12,-6.13,-26.9,1.7,0.03,14.11
14,13,-6.09,-26.7,1.3,0.02,13.59
14,14,-6.02,-27.1,1.7,0.01,13.01
14,15,-6.08,-28.1,1.5,0.0,13.36
14,16,-6.18,-28.5,1.2,0.01,13.79
14,17,-6.34,-28.6,1.2,0.02,14.05
14,18,-6.58,-29.0,1.3,0.02,13.74
14,19,-6.64,-29.0,1.3,0.08,13.51
14,20,-6.73,-29.2,1.5,0.1,13.34
14,21,-6.8,-29.2,1.6,0.08,13.02
14,22,-7.03,-29.3,1.7,0.09,12.66
14,23,-7.3,-29.2,1.9,0.06,12.65
15,0,-7.45,-28.9,2.2,0.02,12.51
15,1,-7.64,-28.1,2.3,0.02,12.48
15,2,-7.54,-27.5,3.2,0.02,12.41
15,3,-7.99,-27.1,3.0,0.01,12.13
15,4,-8.33,-26.0,2.8,0.03,11.74
15,5,-8.48,-24.8,2.8,0.05,11.86
15,6,-8.57,-23.9,2.7,0.01,11.61
15,7,-8.46,-22.9,2.5,0.01,12.17
15,8,-8.33,-21.9,2.4,0.02,12.26
15,9,-8.32,-21.3,1.8,0.02,12.55
15,10,-8.2,-20.4,1.5,0.03,12.59
15,11,-8.01,-19.7,1.6,0.02,12.51
15,12,-7.76,-18.8,1.4,0.02,12.46
15,13,-7.62,-18.1,1.4,0.03,12.15
15,14,-7.57,-17.8,1.8,0.03,12.05
15,15,-7.6,-18.5,1.6,0.03,12.93
15,16,-7.49,-18.6,1.5,0.1,13.09
15,17,-7.39,-18.0,1.4,0.26,12.53
15,18,-7.33,-17.7,1.2,0.38,12.43
15,19,-7.17,-17.6,1.8,0.31,12.05
15,20,-7.04,-16.9,2.1,0.08,12.72
15,21,-6.9,-16.7,2.4,0.06,13.03
15,22,-6.78,-17.0,2.5,0.04,13.55
15,23,-6.66,-17.5,2.9,0.03,13.64
16,0,-6.68,-18.1,3.2,0.06,13.37
16,1,-6.48,-18.0,3.5,0.1,13.47
16,2,-6.3,-17.7,3.8,0.17,13.83
16,3,-6.16,-17.8,4.4,0.08,14.64
16,4,-6.17,-17.4,4.2,0.07,13.85
16,5,-6.1,-16.8,4.3,0.02,14.13
16,6,-6.07,-16.4,4.4,0.04,14.26
16,7,-6.09,-16.3,4.6,0.04,14.19
16,8,-6.11,-16.4,4.4,0.03,13.94
16,9,-6.04,-16.6,3.8,0.02,13.52
16,10,-6.07,-17.0,4.3,0.02,13.03
16,11,-6.05,-17.3,3.9,0.01,12.82
16,12,-5.89,-17.2,3.7,0.08,13.15
16,13,-5.79,-17.0,4.0,0.07,12.94
16,14,-5.63,-16.9,3.8,0.27,12.43
16,15,-6.05,-19.6,4.1,0.04,12.19
16,16,-6.07,-20.0,3.7,0.08,12.56
16,17,-6.38,-20.0,3.4,0.14,13.24
16,18,-6.23,-17.7,2.9,0.04,12.19
16,19,-6.28,-16.6,2.5,0.02,12.91
16,20,-6.55,-15.9,2.2,0.01,13.27
16,21,-6.81,-16.6,2.0,0.03,12.56
16,22,-6.96,-17.7,1.7,0.05,13.17
16,23,-7.14,-18.7,1.5,0.02,14.2
17,0,-7.33,-19.6,1.4,0.02,14.68
17,1,-7.45,-20.2,1.5,0.04,15.59
17,2,-7.41,-20.7,1.6,0.02,14.99
17,3,-7.57,-21.2,2.3,0.01,14.73
17,4,-7.65,-21.5,1.9,0.03,15.23
17,5,-7.71,-21.8,1.5,0.04,15.15
17,6,-7.68,-21.9,1.2,0.04,14.54
17,7,-7.58,-21.9,0.9,0.02,14.15
17,8,-7.61,-21.9,0.7,0.0,13.79
17,9,-7.76,-22.9,0.9,0.0,13.8
17,10,-7.79,-23.3,1.4,0.0,13.42
17,11,-7.93,-23.6,1.9,0.01,12.8
17,12,-8.08,-23.6,2.5,0.01,12.41
17,13,-8.31,-23.4,2.8,0.02,11.66
17,14,-8.26,-23.3,2.9,0.04,12.51
17,15,-8.63,-23.5,3.6,0.01,12.67
17,16,-8.82,-23.8,3.5,0.0,12.73
17,17,-8.83,-23.8,3.8,0.0,12.86
17,18,-8.65,-23.7,3.6,0.01,13.36
17,19,-8.54,-23.6,3.2,0.01,13.73
17,20,-8.51,-23.5,2.8,0.0,13.39
17,21,-8.43,-23.8,3.0,0.01,13.39
17,22,-8.43,-23.7,2.6,0.01,13.67
17,23,-8.43,-23.5,2.8,0.03,13.42
18,0,-8.25,-23.1,3.3,0.05,13.88
18,1,-8.06,-22.8,3.8,0.04,13.62
18,2,-8.11,-22.3,4.1,0.03,12.91
18,3,-8.22,-21.7,4.7,0.04,14.81
18,4,-8.24,-21.2,4.5,0.04,14.94
18,5,-8.34,-20.6,4.1,0.08,15.08
18,6,-8.27,-20.2,3.4,0.08,15.2
18,7,-8.34,-19.9,2.4,0.05,14.61
18,8,-8.02,-19.6,1.2,0.06,13.33
18,9,-7.88,-19.4,0.6,0.05,13.31
18,10,-7.85,-20.2,0.8,0.09,13.34
18,11,-7.68,-20.8,0.8,0.05,13.07
18,12,-7.42,-20.7,0.7,0.09,12.84
18,13,-7.34,-20.3,0.6,0.16,13.58
18,14,-7.03,-20.0,0.6,0.19,13.88
18,15,-6.97,-20.8,0.6,0.13,14.13
18,16,-6.71,-20.6,0.9,0.09,14.42
18,17,-6.46,-20.8,1.9,0.08,14.48
18,18,-6.3,-21.1,2.3,0.07,14.86
18,19,-6.22,-21.0,2.5,0.09,14.92
18,20,-6.31,-21.0,2.4,0.1,14.72
18,21,-6.26,-22.0,2.3,0.07,14.12
18,22,-6.08,-22.0,2.5,0.04,14.19
18,23,-6.09,-22.0,2.8,0.05,13.77
19,0,-6.16,-21.8,3.1,0.08,13.47
19,1,-6.22,-21.8,4.0,0.05,13.2
19,2,-6.36,-21.7,4.3,0.02,12.89
19,3,-6.46,-21.5,4.1,0.04,11.74
19,4,-6.42,-21.5,3.6,0.04,10.67
19,5,-6.53,-21.5,2.7,0.06,10.42
19,6,-6.6,-21.3,2.4,0.07,10.04
19,7,-6.62,-21.3,2.5,0.05,10.18
19,8,-6.5,-21.1,2.7,0.05,10.62
19,9,-6.63,-21.4,2.7,0.05,11.39
19,10,-6.58,-21.5,3.1,0.04,12.14
19,11,-6.21,-21.4,3.2,0.11,13.61
19,12,-5.98,-21.3,3.1,0.01,14.75
19,13,-5.85,-20.9,3.3,0.02,15.07
19,14,-5.81,-20.6,3.9,0.07,14.18
19,15,-6.2,-20.4,3.5,0.03,14.73
19,16,-6.53,-20.3,2.4,0.0,15.63
19,17,-6.88,-20.3,1.8,0.0,15.73
19,18,-7.09,-20.2,1.6,0.0,14.89
19,19,-7.3,-20.2,1.4,0.0,15.35
19,20,-7.46,-20.3,0.9,0.0,15.28
19,21,-7.75,-22.4,1.2,0.0,15.03
19,22,-7.86,-22.8,0.8,0.03,14.4
19,23,-7.92,-22.6,0.4,0.05,12.63
20,0,-8.08,-22.7,0.6,0.04,13.51
20,1,-8.15,-22.6,0.6,0.0,13.6
20,2,-8.39,-22.9,-0.1,0.0,14.05
20,3,-8.71,-22.9,-0.6,0.0,13.53
20,4,-8.84,-22.6,-0.5,0.0,13.79
20,5,-8.94,-22.5,-0.4,0.02,13.98
20,6,-8.98,-22.3,-0.1,0.02,14.32
20,7,-9.04,-22.3,-0.3,0.02,14.43
20,8,-9.09,-22.3,-0.2,0.02,14.16
20,9,-9.25,-22.1,0.1,0.06,13.54
20,10,-9.41,-22.3,1.4,0.02,14.14
20,11,-9.6,-22.3,2.1,0.03,13.66
20,12,-9.45,-21.8,2.3,0.03,13.61
20,13,-9.45,-21.6,2.4,0.01,13.15
20,14,-9.56,-21.6,2.6,0.02,13.45
20,15,-9.85,-22.1,2.4,0.04,13.03
20,16,-10.14,-22.8,2.7,0.04,13.35
20,17,-10.35,-23.0,3.1,0.03,13.08
20,18,-10.46,-23.5,3.6,0.05,13.18
20,19,-10.56,-23.9,3.6,0.1,12.75
20,20,-10.62,-24.5,3.6,0.09,12.58
20,21,-10.54,-24.5,3.9,0.09,12.78
20,22,-10.52,-25.0,4.4,0.08,12.77
20,23,-10.56,-25.4,5.1,0.02,13.3
21,0,-10.38,-25.8,5.7,0.16,13.58
21,1,-10.26,-26.3,6.0,0.03,14.74
21,2,-10.2,-26.8,5.6,0.02,14.17
21,3,-10.28,-27.2,4.2,0.04,14.15
21,4,-10.68,-28.3,3.4,0.02,13.63
21,5,-10.69,-28.4,3.0,0.02,13.48
21,6,-10.83,-30.5,3.0,0.02,13.37
21,7,-10.94,-29.8,2.8,0.02,13.1
21,8,-11.26,-30.0,2.9,0.01,13.11
21,9,-11.34,-29.4,3.4,0.01,13.5
21,10,-11.33,-30.0,2.9,0.02,14.05
21,11,-11.24,-30.3,2.1,0.03,13.67
21,12,-10.93,-29.9,1.7,0.01,13.5
21,13,-10.69,-29.4,1.4,0.0,13.43
21,14,-10.07,-29.0,1.2,0.0,14.3
21,15,-9.76,-28.9,0.8,0.01,14.87
21,16,-9.75,-29.1,0.6,0.02,14.8
21,17,-9.59,-29.0,0.6,0.01,14.86
21,18,-9.57,-28.7,0.8,0.02,15.31
21,19,-9.68,-28.2,0.6,0.03,15.36
21,20,-9.72,-27.5,0.7,0.03,15.22
21,21,-9.69,-25.5,0.6,0.05,14.73
21,22,-9.82,-24.9,0.4,0.05,14.62
21,23,-9.81,-24.5,0.1,0.08,14.66
22,0,-9.73,-23.5,0.6,0.06,15.02
22,1,-9.65,-22.3,0.9,0.06,14.37
22,2,-9.12,-20.9,1.0,0.09,14.2
22,3,-9.43,-19.7,0.7,0.12,14.19
22,4,-9.35,-18.5,0.6,0.12,14.45
22,5,-9.48,-17.5,0.2,0.11,14.31
22,6,-9.66,-16.7,-0.2,0.08,14.0
22,7,-9.48,-17.4,0.4,0.06,13.22
22,8,-9.87,-18.7,0.7,0.05,13.62
22,9,-9.52,-17.2,0.8,0.03,13.26
22,10,-9.38,-17.4,0.7,0.01,13.15
22,11,-9.12,-17.4,0.6,0.01,13.22
22,12,-8.84,-17.7,0.3,0.01,12.98
22,13,-8.74,-17.9,0.2,0.02,12.77
22,14,-8.59,-19.0,0.1,0.04,12.95
22,15,-8.64,-20.4,1.0,0.11,13.27
22,16,-8.43,-21.1,1.0,0.11,14.25
22,17,-8.33,-21.6,0.9,0.08,14.38
22,18,-8.11,-21.7,0.8,0.1,14.45
22,19,-7.88,-21.9,0.7,0.09,14.48
22,20,-7.87,-22.3,0.6,0.05,14.41
22,21,-7.79,-22.4,0.4,0.12,14.59
22,22,-7.79,-22.5,0.6,0.07,14.13
22,23,-7.77,-22.2,1.0,0.05,13.87
23,0,-7.59,-21.3,1.2,0.08,13.51
23,1,-7.17,-19.8,1.5,0.1,13.62
23,2,-6.89,-17.7,2.3,0.18,14.54
23,3,-7.27,-17.8,1.9,0.16,14.51
23,4,-7.23,-16.9,2.6,0.05,14.48
23,5,-7.36,-16.7,2.9,0.08,13.84
