venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
2,2026-09-17,14,prophet_xgb,12.52,110.609,244.57,forecast,8.9,0.0,clear,False,,2026-09-02T21:48:42Z
2,2026-09-18,15,prophet_xgb,33.976,123.16,292.028,forecast,,0.0,,False,,2026-09-02T21:48:42Z
2,2026-09-19,16,prophet_xgb,26.542,96.21,228.127,climatology,9.366,1.49,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-20,17,prophet_xgb,18.608,67.453,159.938,climatology,8.94,2.43,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-21,18,prophet_xgb,0.0,0.0,0.0,climatology,8.292,3.42,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-22,19,prophet_xgb,37.822,137.098,325.077,climatology,9.32,1.03,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-23,20,prophet_xgb,30.58,110.85,262.838,climatology,8.763,1.42,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-24,21,prophet_xgb,29.174,105.751,250.748,climatology,8.83,1.58,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-25,22,prophet_xgb,35.633,129.166,306.269,climatology,9.485,1.85,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-26,23,prophet_xgb,24.418,88.513,209.875,climatology,9.462,2.76,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-27,24,prophet_xgb,14.407,52.223,123.828,climatology,9.33,2.88,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-28,25,prophet_xgb,0.0,0.0,0.0,climatology,8.968,1.48,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-29,26,prophet_xgb,31.06,112.59,266.965,climatology,8.309,3.15,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-30,27,prophet_xgb,24.544,88.969,210.957,climatology,8.24,2.65,overcast,False,,2026-09-02T21:48:42Z
2,2026-10-01,28,prophet_xgb,18.236,66.104,156.74,climatology,7.862,0.95,overcast,False,,2026-09-02T21:48:42Z
2,2026-10-02,29,prophet_xgb,20.561,74.53,176.719,climatology,6.852,1.3,overcast,False,,2026-09-02T21:48:42Z
2,2026-10-03,30,prophet_xgb,9.956,36.089,85.572,climatology,5.955,0.81,overcast,False,,2026-09-02T21:48:42Z
