venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
1,2026-09-27,14,prophet_xgb,9.501,25.101,79.038,forecast,8.025,2.4,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-28,15,prophet_xgb,12.738,44.885,216.74,forecast,5.921,19.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-29,16,prophet_xgb,4.538,15.99,77.21,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-30,17,prophet_xgb,7.107,25.043,120.928,climatology,8.24,2.65,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-01,18,prophet_xgb,3.947,13.907,67.153,climatology,7.862,0.95,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-02,19,prophet_xgb,8.451,29.779,143.796,climatology,6.852,1.3,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-03,20,prophet_xgb,17.265,60.839,293.779,climatology,5.955,0.81,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-04,21,prophet_xgb,5.839,20.576,99.357,climatology,5.979,1.5,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-05,22,prophet_xgb,8.229,28.997,140.02,climatology,5.891,3.47,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-06,23,prophet_xgb,5.888,20.748,100.185,climatology,6.428,5.91,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-07,24,prophet_xgb,4.003,14.107,68.118,climatology,5.849,3.94,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-08,25,prophet_xgb,2.881,10.154,49.029,climatology,5.348,4.06,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-09,26,prophet_xgb,7.177,25.29,122.118,climatology,5.619,1.44,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-10,27,prophet_xgb,18.997,66.942,323.248,climatology,6.189,5.74,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-11,28,prophet_xgb,5.969,21.035,101.573,climatology,6.509,6.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-12,29,prophet_xgb,4.315,15.204,73.416,climatology,5.205,2.69,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-13,30,prophet_xgb,2.768,9.754,47.1,climatology,4.963,0.75,overcast,False,,2026-09-15T20:53:25Z
