venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
1,2026-09-29,14,prophet_xgb,194.189,345.369,542.119,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-30,15,prophet_xgb,113.652,242.336,425.833,forecast,1.567,0.0,clear,False,,2026-09-15T20:53:25Z
1,2026-10-01,16,prophet_xgb,128.748,274.525,482.395,climatology,7.862,0.95,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-02,17,prophet_xgb,221.373,472.027,829.444,climatology,6.852,1.3,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-03,18,prophet_xgb,235.368,501.868,881.881,climatology,5.955,0.81,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-04,19,prophet_xgb,114.193,243.491,427.862,climatology,5.979,1.5,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-05,20,prophet_xgb,193.947,413.547,726.683,climatology,5.891,3.47,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-06,21,prophet_xgb,219.143,467.271,821.087,climatology,6.428,5.91,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-07,22,prophet_xgb,175.002,373.152,655.701,climatology,5.849,3.94,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-08,23,prophet_xgb,190.126,405.4,712.367,climatology,5.348,4.06,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-09,24,prophet_xgb,219.967,469.029,824.176,climatology,5.619,1.44,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-10,25,prophet_xgb,290.185,618.752,1087.269,climatology,6.189,5.74,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-11,26,prophet_xgb,143.077,305.079,536.084,climatology,6.509,6.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-12,27,prophet_xgb,180.802,385.518,677.431,climatology,5.205,2.69,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-13,28,prophet_xgb,169.92,362.314,636.658,climatology,4.963,0.75,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-14,29,prophet_xgb,131.616,280.641,493.141,climatology,5.337,1.72,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-15,30,prophet_xgb,175.947,375.166,659.241,climatology,5.458,2.03,overcast,False,,2026-09-15T20:53:25Z
