venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
2,2026-09-29,14,prophet_xgb,7.081,64.87,135.941,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
2,2026-09-30,15,prophet_xgb,8.787,49.607,99.505,forecast,1.567,0.0,clear,False,,2026-09-15T20:53:25Z
2,2026-10-01,16,prophet_xgb,13.851,78.197,156.853,climatology,7.862,0.95,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-02,17,prophet_xgb,10.548,59.551,119.451,climatology,6.852,1.3,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-03,18,prophet_xgb,13.092,73.913,148.26,climatology,5.955,0.81,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-04,19,prophet_xgb,5.293,29.885,59.945,climatology,5.979,1.5,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-05,20,prophet_xgb,0.0,0.0,0.0,climatology,5.891,3.47,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-06,21,prophet_xgb,12.924,72.962,146.353,climatology,6.428,5.91,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-07,22,prophet_xgb,9.336,52.708,105.726,climatology,5.849,3.94,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-08,23,prophet_xgb,12.993,73.354,147.138,climatology,5.348,4.06,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-09,24,prophet_xgb,10.891,61.483,123.328,climatology,5.619,1.44,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-10,25,prophet_xgb,12.73,71.866,144.154,climatology,6.189,5.74,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-11,26,prophet_xgb,5.598,31.605,63.397,climatology,6.509,6.2,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-12,27,prophet_xgb,0.0,0.0,0.0,climatology,5.205,2.69,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-13,28,prophet_xgb,10.536,59.481,119.312,climatology,4.963,0.75,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-14,29,prophet_xgb,9.195,51.911,104.127,climatology,5.337,1.72,overcast,False,,2026-09-15T20:53:25Z
2,2026-10-15,30,prophet_xgb,13.502,76.225,152.898,climatology,5.458,2.03,overcast,False,,2026-09-15T20:53:25Z
